date,ticker
2016-05-31,BBDC3
2016-05-31,BBDC4
2016-05-31,BBSE3
2016-05-31,BRAP4
2016-05-31,BRFS3
2016-05-31,BRKM5
2016-05-31,BRML3
2016-05-31,CCRO3
2016-05-31,CIEL3
2016-05-31,CMIG4
2016-05-31,COGN3
2016-05-31,CPFE3
2016-05-31,CPLE6
2016-05-31,CSAN3
2016-05-31,CSNA3
2016-05-31,CYRE3
2016-05-31,ECOR3
2016-05-31,EGIE3
2016-05-31,EMBR3
2016-05-31,ENBR3
2016-05-31,EQTL3
2016-05-31,FIBR3
2016-05-31,GGBR4
2016-05-31,GOAU4
2016-05-31,GOLL4
2016-05-31,HYPE3
2016-05-31,ITSA4
2016-05-31,ITUB4
2016-05-31,JBSS3
2016-05-31,KLBN11
2016-05-31,LREN3
2016-05-31,MRFG3
2016-05-31,MRVE3
2016-05-31,MULT3
2016-05-31,NTCO3
2016-05-31,PCAR3
2016-05-31,PETR3
2016-05-31,PETR4
2016-05-31,QUAL3
2016-05-31,RADL3
2016-05-31,RAIL3
2016-05-31,RENT3
2016-05-31,SANB11
2016-05-31,SBSP3
2016-05-31,SUZB3
2016-05-31,TIMS3
2016-05-31,UGPA3
2016-05-31,USIM5
2016-05-31,VALE3
2016-05-31,VALE5
2016-05-31,VIVT3
2016-05-31,WEGE3
2016-05-31,YDUQ3
2016-06-30,ABEV3
2016-06-30,AMER3
2016-06-30,AURE3
2016-06-30,B3SA3
2016-06-30,BBAS3
2016-06-30,BBDC3
2016-06-30,BBDC4
2016-06-30,BBSE3
2016-06-30,BRAP4
2016-06-30,BRFS3
2016-06-30,BRKM5
2016-06-30,BRML3
2016-06-30,CCRO3
2016-06-30,CIEL3
2016-06-30,CMIG4
2016-06-30,COGN3
2016-06-30,CPFE3
2016-06-30,CPLE6
2016-06-30,CSAN3
2016-06-30,CSNA3
2016-06-30,CYRE3
2016-06-30,ECOR3
2016-06-30,EGIE3
2016-06-30,EMBR3
2016-06-30,ENBR3
2016-06-30,EQTL3
2016-06-30,FIBR3
2016-06-30,GGBR4
2016-06-30,GOAU4
2016-06-30,GOLL4
2016-06-30,HYPE3
2016-06-30,ITSA4
2016-06-30,ITUB4
2016-06-30,JBSS3
2016-06-30,KLBN11
2016-06-30,LREN3
2016-06-30,MRFG3
2016-06-30,MRVE3
2016-06-30,MULT3
2016-06-30,NTCO3
2016-06-30,PCAR3
2016-06-30,PETR3
2016-06-30,PETR4
2016-06-30,QUAL3
2016-06-30,RADL3
2016-06-30,RAIL3
2016-06-30,RENT3
2016-06-30,SANB11
2016-06-30,SBSP3
2016-06-30,SUZB3
2016-06-30,TIMS3
2016-06-30,UGPA3
2016-06-30,USIM5
2016-06-30,VALE3
2016-06-30,VALE5
2016-06-30,VIVT3
2016-06-30,WEGE3
2016-06-30,YDUQ3
2016-07-31,ABEV3
2016-07-31,AMER3
2016-07-31,AURE3
2016-07-31,B3SA3
2016-07-31,BBAS3
2016-07-31,BBDC3
2016-07-31,BBDC4
2016-07-31,BBSE3
2016-07-31,BRAP4
2016-07-31,BRFS3
2016-07-31,BRKM5
2016-07-31,BRML3
2016-07-31,CCRO3
2016-07-31,CIEL3
2016-07-31,CMIG4
2016-07-31,COGN3
2016-07-31,CPFE3
2016-07-31,CPLE6
2016-07-31,CSAN3
2016-07-31,CSNA3
2016-07-31,CYRE3
2016-07-31,ECOR3
2016-07-31,EGIE3
2016-07-31,EMBR3
2016-07-31,ENBR3
2016-07-31,EQTL3
2016-07-31,FIBR3
2016-07-31,GGBR4
2016-07-31,GOAU4
2016-07-31,GOLL4
2016-07-31,HYPE3
2016-07-31,ITSA4
2016-07-31,ITUB4
2016-07-31,JBSS3
2016-07-31,KLBN11
2016-07-31,LREN3
2016-07-31,MRFG3
2016-07-31,MRVE3
2016-07-31,MULT3
2016-07-31,NTCO3
2016-07-31,PCAR3
2016-07-31,PETR3
2016-07-31,PETR4
2016-07-31,QUAL3
2016-07-31,RADL3
2016-07-31,RAIL3
2016-07-31,RENT3
2016-07-31,SANB11
2016-07-31,SBSP3
2016-07-31,SUZB3
2016-07-31,TIMS3
2016-07-31,UGPA3
2016-07-31,USIM5
2016-07-31,VALE3
2016-07-31,VALE5
2016-07-31,VIVT3
2016-07-31,WEGE3
2016-07-31,YDUQ3
2016-08-31,ABEV3
2016-08-31,AMER3
2016-08-31,AURE3
2016-08-31,B3SA3
2016-08-31,BBAS3
2016-08-31,BBDC3
2016-08-31,BBDC4
2016-08-31,BBSE3
2016-08-31,BRAP4
2016-08-31,BRFS3
2016-08-31,BRKM5
2016-08-31,BRML3
2016-08-31,CCRO3
2016-08-31,CIEL3
2016-08-31,CMIG4
2016-08-31,COGN3
2016-08-31,CPFE3
2016-08-31,CPLE6
2016-08-31,CSAN3
2016-08-31,CSNA3
2016-08-31,CYRE3
2016-08-31,ECOR3
2016-08-31,EGIE3
2016-08-31,EMBR3
2016-08-31,ENBR3
2016-08-31,EQTL3
2016-08-31,FIBR3
2016-08-31,GGBR4
2016-08-31,GOAU4
2016-08-31,GOLL4
2016-08-31,HYPE3
2016-08-31,ITSA4
2016-08-31,ITUB4
2016-08-31,JBSS3
2016-08-31,KLBN11
2016-08-31,LREN3
2016-08-31,MRFG3
2016-08-31,MRVE3
2016-08-31,MULT3
2016-08-31,NTCO3
2016-08-31,PCAR3
2016-08-31,PETR3
2016-08-31,PETR4
2016-08-31,QUAL3
2016-08-31,RADL3
2016-08-31,RAIL3
2016-08-31,RENT3
2016-08-31,SANB11
2016-08-31,SBSP3
